rule_id,rule_name,severity,condition_expression,recommended_action,applies_to_types,is_active,created_at,updated_at,created_by,resource_ids,data_requirement
E1,Generating at negative prices (low SOC),RED,actual_mw > 0 AND rt_lmp < -20 AND soc_pct < 10,Investigate immediately — resource should not be discharging at negative prices with minimal stored energy.,"battery,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,system,ALL,RT
E2,Generating at negative prices (high SOC),YELLOW,actual_mw > 0 AND rt_lmp < -50 AND soc_pct > 50,Review — may be intentional (AS obligation or ramp constraint) but warrants verification.,"battery,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,system,ALL,RT
E3,Charging at high positive prices,YELLOW,actual_mw < 0 AND rt_lmp > 200,Verify whether charge is from an AS award or a bidding error.,"battery,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,system,ALL,RT
E4,Bid not submitted,RED,no DA bid record found for upcoming operating day by T-1 14:00,Stora may have failed to submit. Check Stora logs and resubmit manually if needed.,all,True,2025-07-01 00:00:00,2025-07-01 00:00:00,system,ALL,DA
E5,DA award exceeds bid quantity,YELLOW,awarded_mw > bid_mw for any hour,Possible data issue or partial/over-award. Verify with ISO award file.,all,True,2025-07-01 00:00:00,2025-07-01 00:00:00,system,ALL,DA
T1,Dispatch not followed (3-interval persistence),RED,"abs(actual_mw - dispatch_mw) > max(5, dispatch_mw*0.1) for 3+ consecutive 5-min intervals, NOT awarded REG",If SOC=0 during non-solar hours: submit outage card. Otherwise: contact the plant.,"battery,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,RT
T2,BESS not cycling,YELLOW,SOC direction changes < 2 over rolling 8-hour window during operating hours,Check if related to outage; otherwise ping DA market team.,battery,True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,RT
T3,Curtailment detected,YELLOW,"ver_mw - actual_mw > max(10, ver_mw * 0.2)",Resource is being curtailed. Informational.,"solar,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,RT
T4,SOC outside target bounds,YELLOW,soc_pct < soc_min_target OR soc_pct > soc_max_target,Review model parameters — optimization routinely exceeding targets.,"battery,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,DA
T5,Uneconomic PV curtailment,RED,curtailment_detected AND rt_lmp > curtailment_price,Contact DA Org Market Team — curtailment happening above curtailment price.,"solar,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,RT
T6,Invalid bid detected,RED,bid_status = 'INVALID',Contact DA Org Market Team — STORA creating infeasible bids.,all,True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,Both
T7,RT bids not updated 6hrs forward,YELLOW,no RT bids covering next 6 hours from current time,Contact DA Org Market Team — STORA not updating RT bids.,"battery,hybrid",True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,RT
T10,Grid charging detected,YELLOW,actual_mw < -10 AND (hour NOT in solar_hours OR ver_mw = 0),Review whether grid charging was intentional or erroneous.,battery,True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,RT
T11,LMP forecast accuracy degraded,YELLOW,"rolling 24hr MAPE(forecast_lmp, actual_rt_lmp) > 50%",Review forecast model inputs and parameters.,all,True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,ALL,DA
R1,Full capacity not offered (RA),YELLOW,max(bid_mw) < nameplate_mw for any DA hour,RA bidding rule compliance — must offer full capacity.,battery,True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,"DSFLWR_2_W9CSB2,PUTHCR_1_PCNSB1,KRAMER_1_R1BX3,RSMNDS_2_CSRBT1,SANDRN_2_SS1BT1",DA
R2,DAME products not fully offered (RA),YELLOW,AS bid MW (IRU/IRD/RCU/RCD) < nameplate_mw,RA bidding rule compliance — must offer full AS capacity.,"battery,solar",True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,"DSFLWR_2_W9CSB2,PUTHCR_1_PCNSB1,KRAMER_1_R1BX3,KRAMER_1_R1PX3,RSMNDS_2_CSRBT1,RSMNDS_2_CSRSR1,SANDRN_2_SS1BT1,SANDRN_2_SS1SR1",DA
R3,Positive bid price (solar sign-flip),RED,any bid_price > 0 for solar/curtailment resource,Contact DA Org Market Team — sign-flip on curtailment price.,solar,True,2025-07-01 00:00:00,2025-07-01 00:00:00,trader_team,"KRAMER_1_R1PX3,RSMNDS_2_CSRSR1,SANDRN_2_SS1SR1",Both
